DATE,A255RD3Q086SBEA
1970-01-01,19.675
1970-04-01,19.875
1970-07-01,20.489
1970-10-01,20.727
1971-01-01,21.099
1971-04-01,21.045
1971-07-01,21.271
1971-10-01,21.512
1972-01-01,22.043
1972-04-01,22.714
1972-07-01,23.072
1972-10-01,23.568
1973-01-01,24.305
1973-04-01,26.281
1973-07-01,27.479
1973-10-01,29.802
1974-01-01,35.278
1974-04-01,39.942
1974-07-01,42.252
1974-10-01,43.666
1975-01-01,44.442
1975-04-01,44.421
1975-07-01,43.074
1975-10-01,42.952
1976-01-01,43.749
1976-04-01,44.521
1976-07-01,45.308
1976-10-01,45.723
1977-01-01,47.511
1977-04-01,48.928
1977-07-01,49.528
1977-10-01,49.913
1978-01-01,50.769
1978-04-01,51.982
1978-07-01,52.632
1978-10-01,53.517
1979-01-01,55.769
1979-04-01,58.85
1979-07-01,63.588
1979-10-01,68.114
1980-01-01,74.181
1980-04-01,77.173
1980-07-01,79.325
1980-10-01,80.808
1981-01-01,83.111
1981-04-01,83.555
1981-07-01,80.857
1981-10-01,80.812
1982-01-01,80.468
1982-04-01,79.001
1982-07-01,78.154
1982-10-01,77.48
1983-01-01,75.542
1983-04-01,75.56
1983-07-01,75.714
1983-10-01,75.15
1984-01-01,75.358
1984-04-01,75.87
1984-07-01,74.738
1984-10-01,73.956
1985-01-01,71.998
1985-04-01,71.972
1985-07-01,71.411
1985-10-01,72.645
1986-01-01,72.183
1986-04-01,69.291
1986-07-01,69.664
1986-10-01,70.628
1987-01-01,73.089
1987-04-01,75.239
1987-07-01,75.938
1987-10-01,77.246
1988-01-01,78.164
1988-04-01,79.701
1988-07-01,78.722
1988-10-01,79.422
1989-01-01,81.164
1989-04-01,82.291
1989-07-01,80.565
1989-10-01,80.843
1990-01-01,81.938
1990-04-01,79.896
1990-07-01,82.176
1990-10-01,86.975
1991-01-01,83.667
1991-04-01,81.317
1991-07-01,79.721
1991-10-01,80.037
1992-01-01,80.291
1992-04-01,80.512
1992-07-01,81.251
1992-10-01,80.722
1993-01-01,80.177
1993-04-01,80.343
1993-07-01,79.599
1993-10-01,79.119
1994-01-01,79.018
1994-04-01,79.868
1994-07-01,81.117
1994-10-01,81.361
1995-01-01,82.377
1995-04-01,83.304
1995-07-01,82.633
1995-10-01,81.782
1996-01-01,81.483
1996-04-01,80.889
1996-07-01,79.806
1996-10-01,79.637
1997-01-01,79.009
1997-04-01,77.042
1997-07-01,76.591
1997-10-01,75.95
1998-01-01,74.053
1998-04-01,72.832
1998-07-01,71.656
1998-10-01,71.363
1999-01-01,71.069
1999-04-01,71.919
1999-07-01,72.87
1999-10-01,74.115
2000-01-01,75.782
2000-04-01,76.029
2000-07-01,76.598
2000-10-01,76.976
2001-01-01,76.587
2001-04-01,74.904
2001-07-01,73.562
2001-10-01,71.611
2002-01-01,71.367
2002-04-01,73.009
2002-07-01,73.388
2002-10-01,73.854
2003-01-01,75.69
2003-04-01,73.901
2003-07-01,74.014
2003-10-01,74.366
2004-01-01,76.208
2004-04-01,77.365
2004-07-01,78.232
2004-10-01,80.187
2005-01-01,80.828
2005-04-01,81.878
2005-07-01,83.732
2005-10-01,85.405
2006-01-01,85.484
2006-04-01,86.447
2006-07-01,87.303
2006-10-01,86.019
2007-01-01,86.573
2007-04-01,88.072
2007-07-01,89.3
2007-10-01,92.993
2008-01-01,97.005
2008-04-01,102.041
2008-07-01,104.719
2008-10-01,91.766
2009-01-01,82.953
2009-04-01,84.576
2009-07-01,87.837
2009-10-01,90.488
2010-01-01,92.247
2010-04-01,91.608
2010-07-01,90.87
2010-10-01,93.126
2011-01-01,97.559
2011-04-01,100.829
2011-07-01,100.643
2011-10-01,100.423
2012-01-01,101.471
2012-04-01,100.465
2012-07-01,98.492
2012-10-01,99.585
2013-01-01,99.665
2013-04-01,98.094
2013-07-01,97.491
2013-10-01,97.031
2014-01-01,98.352
2014-04-01,97.491
2014-07-01,96.728
2014-10-01,94.542
2015-01-01,89.884
2015-04-01,88.399
2015-07-01,87.264
2015-10-01,85.058
2016-01-01,83.211
2016-04-01,83.679
2016-07-01,84.429
2016-10-01,84.658
2017-01-01,85.658
2017-04-01,85.608
2017-07-01,85.554
2017-10-01,86.683
2018-01-01,88.161
2018-04-01,88.491
2018-07-01,88.562
2018-10-01,87.859
2019-01-01,86.581
2019-04-01,87.224
2019-07-01,86.167
2019-10-01,85.558
2020-01-01,85.212
2020-04-01,82.18
2020-07-01,83.9
2020-10-01,84.261
2021-01-01,87.241
2021-04-01,90.193
2021-07-01,91.501
