DATE,B187RG3Q086SBEA
1970-01-01,31.466
1970-04-01,31.808
1970-07-01,32.824
1970-10-01,33.155
1971-01-01,33.732
1971-04-01,33.565
1971-07-01,33.878
1971-10-01,34.3
1972-01-01,35.232
1972-04-01,36.322
1972-07-01,36.95
1972-10-01,37.752
1973-01-01,38.91
1973-04-01,42.178
1973-07-01,43.758
1973-10-01,46.078
1974-01-01,47.895
1974-04-01,52.226
1974-07-01,56.303
1974-10-01,59.086
1975-01-01,60.598
1975-04-01,60.778
1975-07-01,58.486
1975-10-01,57.793
1976-01-01,58.516
1976-04-01,59.811
1976-07-01,61.153
1976-10-01,61.488
1977-01-01,63.728
1977-04-01,65.826
1977-07-01,66.969
1977-10-01,67.503
1978-01-01,69.304
1978-04-01,71.639
1978-07-01,72.865
1978-10-01,74.403
1979-01-01,77.359
1979-04-01,78.889
1979-07-01,79.716
1979-10-01,83.585
1980-01-01,87.452
1980-04-01,88.866
1980-07-01,91.745
1980-10-01,93.017
1981-01-01,93.784
1981-04-01,93.177
1981-07-01,91.516
1981-10-01,92.33
1982-01-01,92.188
1982-04-01,91.301
1982-07-01,89.397
1982-10-01,88.714
1983-01-01,88.595
1983-04-01,88.537
1983-07-01,88.164
1983-10-01,87.701
1984-01-01,88.019
1984-04-01,88.548
1984-07-01,87.294
1984-10-01,86.358
1985-01-01,84.137
1985-04-01,83.986
1985-07-01,83.997
1985-10-01,85.552
1986-01-01,87.77
1986-04-01,88.731
1986-07-01,90.487
1986-10-01,90.905
1987-01-01,92.392
1987-04-01,94.29
1987-07-01,94.772
1987-10-01,97.241
1988-01-01,99.818
1988-04-01,102.026
1988-07-01,101.311
1988-10-01,103.225
1989-01-01,103.889
1989-04-01,103.462
1989-07-01,102.129
1989-10-01,101.904
1990-01-01,102.102
1990-04-01,101.912
1990-07-01,102.312
1990-10-01,103.446
1991-01-01,104.144
1991-04-01,102.891
1991-07-01,101.47
1991-10-01,101.915
1992-01-01,102.673
1992-04-01,101.926
1992-07-01,102.657
1992-10-01,102.797
1993-01-01,101.754
1993-04-01,102.151
1993-07-01,102.316
1993-10-01,102.57
1994-01-01,102.611
1994-04-01,103.095
1994-07-01,103.948
1994-10-01,104.919
1995-01-01,105.413
1995-04-01,106.33
1995-07-01,106.11
1995-10-01,105.008
1996-01-01,103.563
1996-04-01,101.888
1996-07-01,100.263
1996-10-01,98.972
1997-01-01,98.137
1997-04-01,97.263
1997-07-01,96.878
1997-10-01,96.132
1998-01-01,94.793
1998-04-01,93.907
1998-07-01,92.855
1998-10-01,92.622
1999-01-01,92.407
1999-04-01,91.839
1999-07-01,91.724
1999-10-01,91.95
2000-01-01,92.178
2000-04-01,92.736
2000-07-01,93.007
2000-10-01,92.989
2001-01-01,93.475
2001-04-01,92.096
2001-07-01,90.776
2001-10-01,89.698
2002-01-01,89.165
2002-04-01,89.547
2002-07-01,89.785
2002-10-01,89.784
2003-01-01,90.054
2003-04-01,89.806
2003-07-01,89.764
2003-10-01,89.693
2004-01-01,90.841
2004-04-01,91.6
2004-07-01,91.973
2004-10-01,92.656
2005-01-01,93.349
2005-04-01,93.611
2005-07-01,93.659
2005-10-01,94.657
2006-01-01,93.987
2006-04-01,94.078
2006-07-01,94.982
2006-10-01,95.238
2007-01-01,95.573
2007-04-01,96.036
2007-07-01,96.172
2007-10-01,96.828
2008-01-01,98.672
2008-04-01,101.321
2008-07-01,102.225
2008-10-01,99.204
2009-01-01,96.132
2009-04-01,95.039
2009-07-01,95.3
2009-10-01,96.151
2010-01-01,96.92
2010-04-01,97.082
2010-07-01,96.882
2010-10-01,97.696
2011-01-01,99.433
2011-04-01,100.751
2011-07-01,101.061
2011-10-01,100.479
2012-01-01,100.274
2012-04-01,100.194
2012-07-01,99.63
2012-10-01,99.902
2013-01-01,99.887
2013-04-01,99.193
2013-07-01,98.119
2013-10-01,97.889
2014-01-01,98.67
2014-04-01,98.294
2014-07-01,98.076
2014-10-01,97.595
2015-01-01,96.279
2015-04-01,95.246
2015-07-01,94.452
2015-10-01,93.402
2016-01-01,92.526
2016-04-01,92.458
2016-07-01,92.71
2016-10-01,92.562
2017-01-01,92.611
2017-04-01,93.059
2017-07-01,93.156
2017-10-01,93.338
2018-01-01,93.915
2018-04-01,93.935
2018-07-01,93.598
2018-10-01,93.444
2019-01-01,93.001
2019-04-01,92.473
2019-07-01,92.017
2019-10-01,91.546
2020-01-01,91.726
2020-04-01,91.35
2020-07-01,92.231
2020-10-01,92.358
2021-01-01,94.056
2021-04-01,96.386
2021-07-01,97.317
